INFO  - 2014-07-22 15:23:26.584; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2014-07-22 15:23:26.584; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2014-07-22 15:23:26.585; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2014-07-22 15:23:26.585; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/dist/solr-clustering-4.9.0.jar' to classloader
INFO  - 2014-07-22 15:23:26.586; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2014-07-22 15:23:26.586; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2014-07-22 15:23:26.587; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/dist/solr-langid-4.9.0.jar' to classloader
INFO  - 2014-07-22 15:23:26.587; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/velocity/lib/commons-beanutils-1.8.3.jar' to classloader
INFO  - 2014-07-22 15:23:26.588; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2014-07-22 15:23:26.588; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2014-07-22 15:23:26.588; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2014-07-22 15:23:26.589; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/dist/solr-velocity-4.9.0.jar' to classloader
INFO  - 2014-07-22 15:23:26.663; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2014-07-22 15:23:26.669; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_4_9
INFO  - 2014-07-22 15:23:26.772; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2014-07-22 15:23:26.777; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2014-07-22 15:23:26.807; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2014-07-22 15:23:27.012; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2014-07-22 15:23:27.019; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2014-07-22 15:23:27.020; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2014-07-22 15:23:27.065; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
